Show,Episode,Title,Date,URL
Talk Python to Me,479,Designing Effective Load Tests for Your Python App,"October 6th, 2024",https://talkpython.fm/episodes/show/479/designing-effective-load-tests-for-your-python-app
Talk Python to Me,447,Parallel Python Apps with Sub Interpreters,"February 3rd, 2024",https://talkpython.fm/episodes/show/447/parallel-python-apps-with-sub-interpreters
Talk Python to Me,373,Reinventing Python's Azure CLI,"July 12th, 2022",https://talkpython.fm/episodes/show/373/reinventing-azures-python-cli
Hanselminutes,834,"Pyjion, a JIT compiler for Python using .NET Core with Anthony Shaw","March 31st, 2022",https://hanselminutes.com/834/pyjion-a-jit-compiler-for-python-using-net-core-with-anthony-shaw
Talk Python to Me,340,Time to JIT your Python with Pyjion?,"November 3rd, 2021",https://talkpython.fm/episodes/show/340/time-to-jit-your-python-with-pyjion
Python Bytes,256,And the best open source project prize goes to...,"October 29th, 2021",https://pythonbytes.fm/episodes/show/256/and-the-best-open-source-project-prize-goes-to-
Pybites Podcast,11,Tackling big challenges and overcoming decision fatigue,"August 25th, 2021",https://www.pybitespodcast.com/1501156/9083843-039-tackling-big-challenges-and-overcoming-decision-fatigue-with-anthony-shaw
SoloCoder Podcast,58,"""A Talented Python Fellow""","September 22nd, 2020",https://solocoder.com/podcast/a-talented-python-fellow-anthony-shaw
RealPython Podcast,11,Advice on Getting Started With Testing in Python,"May 29th, 2020",https://realpython.com/podcasts/rpp/11/
Talk Python to Me,265,Why is Python slow?,"May 19th, 2020",https://talkpython.fm/episodes/show/265/why-is-python-slow
Test and Code,101,Application Security,"February 25th, 2020",https://testandcode.com/101
Talk Python to Me,240,CPython Source Code deep dive,"November 10th, 2019",https://talkpython.fm/episodes/show/240
Talk Python to Me,214,Dive into CPython 3.8 and beyond,May 8th 2019,https://talkpython.fm/episodes/show/214/dive-into-cpython-3-8-and-beyond
Podcast.__init__,195,Counteracting Code Complexity With Wily,"January 21st, 2019",https://www.pythonpodcast.com/wily-code-complexity-episode-195/
Talk Python to Me,180,What's new in Python 3.7 and beyond,"October 1st, 2018",https://talkpython.fm/episodes/show/180/what-s-new-in-python-3-7-and-beyond
TechKnow,-,Jobs of the future,"September 4th, 2018",https://www.buzzsprout.com/186269/790610-jobs-of-the-future
Test and Code,46,How do you write tests for things that arenâ€™t that easy to write tests for?,"September 2nd, 2018",https://testandcode.com/46
TechKnow,-,Should you learn to code?,"July 21, 2018",https://www.buzzsprout.com/186269/751024-should-you-learn-to-code
Talk Python to Me,168,10 Python security holes and how to plug them,"June 28, 2018",https://talkpython.fm/episodes/show/168/10-python-security-holes-and-how-to-plug-them
Test and Code,41,Testing problems facing DevOps teams,"April 18, 2018",https://testandcode.com/41
Talk Python to Me,155,Practical steps for moving to Python 3,"February 13, 2018",https://talkpython.fm/episodes/show/155/practical-steps-for-moving-to-python-3
Talk Python to Me,132,Contributing to Open Source,"July 27, 2017",https://talkpython.fm/episodes/show/132/contributing-to-open-source
Podcast.__init__,55,Apache Libcloud,"May 1st, 2016",https://www.podcastinit.com/episode-55-libcloud-with-anthony-shaw/
Developer on Fire,167,(Autobiographical interview),"September 22nd, 2016",https://developeronfire.com/podcast/episode-167-anthony-shaw-innovation-and-inspiration
FLOSS Weekly,373,Apache Libcloud,"February 2nd, 2016",https://twit.tv/shows/floss-weekly/episodes/373
